2017 03 22,JSC Valmieras stikla skiedra (ISIN LV0000100485),1,"3,15 €","0,01 €","3,06 €"
2017 03 22,JSC Valmieras stikla skiedra (ISIN LV0000100485),604,"1.902,60 €","4,76 €","1.828,96 €"
2017 03 23,JSC Olainfarm (ISIN LV0000100501),39,"359,97 €","0,90 €","347,97 €"
2017 03 23,JSC Olainfarm (ISIN LV0000100501),56,"516,88 €","1,29 €","499,65 €"
2017 03 23,JSC Olainfarm (ISIN LV0000100501),21,"193,83 €","0,48 €","187,37 €"
2017 03 31,JSC Rigas kugu buvetava (ISIN LV0000100378),1000,"334,00 €","0,00 €","409,50 €"
2017 03 31,JSC Rigas kugu buvetava (ISIN LV0000100378),1400,"467,60 €","2,00 €","574,60 €"
2017 04 10,JSC Grindeks (ISIN LV0000100659),100,"532,00 €","2,00 €","441,80 €"
2017 04 10,JSC Grindeks (ISIN LV0000100659),250,"1.320,00 €","3,30 €","1.105,60 €"
2017 04 10,JSC Grindeks (ISIN LV0000100659),50,"264,00 €","0,66 €","220,90 €"
2017 04 10,JSC Grindeks (ISIN LV0000100659),50,"266,00 €","0,00 €","221,65 €"
2017 04 10,JSC Grindeks (ISIN LV0000100659),50,"266,00 €","0,66 €","220,69 €"
2017 04 11,JSC Grindeks (ISIN LV0000100659),75,"399,00 €","1,00 €","327,54 €"
2017 04 11,JSC Grindeks (ISIN LV0000100659),150,"798,00 €","1,99 €","657,41 €"
2017 04 11,JSC Grindeks (ISIN LV0000100659),150,"798,00 €","2,00 €","659,81 €"
2017 04 11,JSC Grindeks (ISIN LV0000100659),97,"516,04 €","1,29 €","426,45 €"
2017 04 12,JSC Grindeks (ISIN LV0000100659),50,"265,00 €","0,67 €","229,07 €"
2017 04 12,JSC Grindeks (ISIN LV0000100659),142,"752,60 €","1,88 €","650,56 €"
2017 04 12,JSC Grindeks (ISIN LV0000100659),200,"1.060,00 €","2,08 €","895,17 €"
2017 04 12,JSC Grindeks (ISIN LV0000100659),50,"265,00 €","0,00 €","218,36 €"
